network,database,type,reference,latitude,longitude,total_species,total_interactions,connectance
A_PH_15_1226,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.8325,-74.78722222,54,66,0.046121593
A_PH_15_1227,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.52777778,-75.05555556,64,168,0.083333333
A_PH_15_1216,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.26,-74.03861111,84,116,0.033275961
A_PH_15_1218,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.65111111,-74.75222222,80,194,0.061392405
A_PH_15_1221,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.1625,-74.56972222,50,58,0.047346939
A_PH_15_1223,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",45.53,-75.06333333,22,18,0.077922078
A_PH_15_1224,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.21222222,-74.70944444,68,192,0.08428446
A_PH_15_1228,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.30638889,-73.935,98,332,0.069850621
A_PH_15_1229,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.83055556,-74.8075,48,62,0.054964539
A_PH_15_1230,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.61611111,-74.66444444,28,32,0.084656085
A_PH_15_1231,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.02277778,-75.02111111,40,48,0.061538462
A_PH_15_1232,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.6325,-74.68333333,60,174,0.098305085
A_PH_15_1233,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.71333333,-74.77944444,54,106,0.074074074
A_PH_15_1234,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.33972222,-74.41222222,32,54,0.108870968
A_PH_15_1235,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.78027778,-74.90527778,50,66,0.053877551
A_PH_15_1236,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.37694444,-74.34722222,64,112,0.055555556
A_PH_15_1237,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.55138889,-75.06805556,62,144,0.076150185
A_PH_15_1238,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.8625,-74.81972222,26,30,0.092307692
A_PH_15_1239,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.66944444,-74.7,68,144,0.063213345
A_PH_15_1240,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.08527778,-74.65944444,42,64,0.074332172
A_PH_15_1241,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.35805556,-74.36194444,104,318,0.059372666
A_PH_15_1242,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.31722222,-74.36055556,64,146,0.072420635
A_PH_15_1243,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.62333333,-74.76222222,62,134,0.070861978
A_PH_15_1244,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.35916667,-74.32916667,102,224,0.043486702
A_PH_15_1245,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.31638889,-73.92916667,54,80,0.055904962
A_PH_15_1246,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.4875,-74.16722222,42,128,0.148664344
A_PH_15_1247,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.46194444,-74.28388889,64,148,0.073412698
A_PH_15_1248,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.68777778,-74.66611111,84,202,0.05794607
A_PH_15_1249,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.87166667,-74.77777778,56,108,0.07012987
A_PH_15_1250,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.85027778,-74.9,54,138,0.096436059
A_PH_15_1251,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.26833333,-74.15305556,46,96,0.092753623
A_PH_15_1252,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.35277778,-74.31166667,74,156,0.057756387
A_PH_15_1253,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.84861111,-74.92305556,66,138,0.064335664
A_PH_15_1254,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.01055556,-75.01833333,36,58,0.092063492
A_PH_15_1255,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.84138889,-74.80694444,38,54,0.076813656
A_PH_15_1256,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.78416667,-74.91527778,68,170,0.074626866
A_PH_15_1257,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.01055556,-75.01083333,34,52,0.092691622
A_PH_15_1258,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.84388889,-74.88138889,40,68,0.087179487
A_PH_15_1259,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",45.63611111,-74.73888889,66,184,0.085780886
A_PH_15_1260,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.63083333,-74.81027778,80,208,0.065822785
A_PH_15_1261,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.34166667,-74.34166667,22,26,0.112554113
A_PH_15_1262,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.62027778,-74.63555556,42,88,0.102206736
A_PH_15_1263,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.6175,-74.64166667,48,88,0.078014184
A_PH_15_1264,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",44.39388889,-74.30277778,30,44,0.101149425
A_PH_15_1265,M,Herbivory,"@article{Havens_1992, doi = {10.1126/science.257.5073.1107}, url = {https://doi.org/10.1126%2Fscience.257.5073.1107}, year = 1992, month = {aug}, publisher = {American Association for the Advancement of Science ({AAAS})}, volume = {257}, number = {5073}, pages = {1107--1109}, author = {K. Havens}, title = {Scale and Structure in Natural Food Webs}, journal = {Science}}",43.62722222,-74.65638889,42,48,0.055749129
A_PH_148_1550,M,Herbivory,"@article{HAWKINS_1984,	doi = {10.1111/j.1365-2311.1984.tb00851.x},	url = {https://doi.org/10.1111%2Fj.1365-2311.1984.tb00851.x},	year = 1984,	month = {aug},	publisher = {Wiley},	volume = {9},	number = {3},	pages = {271--292},	author = {BRADFORD A. HAWKINS and RICHARD D. GOEDEN},	title = {Organization of a parasitoid community associated with a complex of galls on Atriplex spp. in southern California},	journal = {Ecological Entomology}}",33.30420944,-116.1144027,8,7,0.25
A_PH_148_1551,M,Herbivory,"@article{HAWKINS_1984,	doi = {10.1111/j.1365-2311.1984.tb00851.x},	url = {https://doi.org/10.1111%2Fj.1365-2311.1984.tb00851.x},	year = 1984,	month = {aug},	publisher = {Wiley},	volume = {9},	number = {3},	pages = {271--292},	author = {BRADFORD A. HAWKINS and RICHARD D. GOEDEN},	title = {Organization of a parasitoid community associated with a complex of galls on Atriplex spp. in southern California},	journal = {Ecological Entomology}}",33.30420944,-116.1144027,15,14,0.133333333
A_PH_148_1558,M,Herbivory,"@article{HAWKINS_1984,	doi = {10.1111/j.1365-2311.1984.tb00851.x},	url = {https://doi.org/10.1111%2Fj.1365-2311.1984.tb00851.x},	year = 1984,	month = {aug},	publisher = {Wiley},	volume = {9},	number = {3},	pages = {271--292},	author = {BRADFORD A. HAWKINS and RICHARD D. GOEDEN},	title = {Organization of a parasitoid community associated with a complex of galls on Atriplex spp. in southern California},	journal = {Ecological Entomology}}",33.30420944,-116.1144027,8,7,0.25
A_PH_148_1559,M,Herbivory,"@article{HAWKINS_1984,	doi = {10.1111/j.1365-2311.1984.tb00851.x},	url = {https://doi.org/10.1111%2Fj.1365-2311.1984.tb00851.x},	year = 1984,	month = {aug},	publisher = {Wiley},	volume = {9},	number = {3},	pages = {271--292},	author = {BRADFORD A. HAWKINS and RICHARD D. GOEDEN},	title = {Organization of a parasitoid community associated with a complex of galls on Atriplex spp. in southern California},	journal = {Ecological Entomology}}",33.30420944,-116.1144027,8,7,0.25
A_PH_141_1525,M,Herbivory,"@article{Hewatt_1937, doi = {10.2307/2420496}, url = {https://doi.org/10.2307%2F2420496},	year = 1937,	month = {mar},	publisher = {{JSTOR}},	volume = {18},	number = {2},	pages = {161},	author = {Willis G. Hewatt},	title = {Ecological Studies on Selected Marine Intertidal Communities of Monterey Bay, California},	journal = {American Midland Naturalist}}",36.6166667,-121.9,14,11,0.120879121
A_PH_178_5013,M,Herbivory,"@article{Hines_2019, doi = {10.1002/ecy.2679}, url = {https://doi.org/10.1002%2Fecy.2679}, year = 2019, month = {mar}, publisher = {Wiley}, pages = {e02679}, author = {Jes Hines and Darren P. Giling and Michael Rzanny and Winfried Voigt and Sebastian T. Meyer and Wolfgang W. Weisser and Nico Eisenhauer and Anne Ebeling}, title = {A meta-food web for invertebrate species collected in a european grassland}, journal = {Ecology}}",50.9166667,11.58333333,366,6075,0.090949921
A_PH_102_1474,M,Herbivory,"@article{Hopkins_1993,	doi = {10.1007/bf01681980},	url = {https://doi.org/10.1007%2Fbf01681980},	year = 1993,	month = {jun},	publisher = {Springer Nature},	volume = {13},	number = {6},	pages = {389--397},	author = {Thomas L. Hopkins and David G. Ainley and Jos{'{e}} J. Torres and Thomas M. Lancraft},	title = {Trophic structure in open waters of the marginal ice zone in the Scotia-Weddell confluence region during spring (1983)},	journal = {Polar Biology}}",-59.25,-39.5,22,38,0.164502165
A_PH_159_1589,M,Herbivory,"@article{Huang_2008,	doi = {10.1080/02705060.2008.9664219}, url = {https://doi.org/10.1080%2F02705060.2008.9664219}, year = 2008,  month = {sep}, publisher = {Informa {UK} Limited}, volume = {23}, number = {3}, pages = {421--427}, author = {Ying Huang and Yunjun Yan and Xiaoyu Li}, title = {Food Web Structure of Benthic Macrolnvertebrates in a Second Order Stream of the Hanjiang River Basin in Middle China}, journal = {Journal of Freshwater Ecology}}",32.16894982,112.3469593,16,30,0.25
A_PH_135_1519,M,Herbivory,"@article{Hurlbert_1972,	doi = {10.2307/1942211},	url = {https://doi.org/10.2307%2F1942211},	year = 1972,	month = {feb},	publisher = {Wiley},	volume = {42},	number = {3},	pages = {269--299},	author = {Stuart H. Hurlbert and Mir S. Mulla and Harold R. Willson},	title = {Effects of an Organophosphorus Insecticide on the Phytoplankton, Zooplankton, and Insect Populations of Fresh-Water Ponds}, journal = {Ecological Monographs}}",35.02486,-119.106607,6,5,0.333333333
A_PH_14_947,M,Herbivory,"@article{Johnston_1956, ISSN = {00435643}, URL = {http://www.jstor.org/stable/4158481}, abstract = {The Short-eared Owl is a common winter visitant to the salt marshes around San Francisco Bay. Between four and ten owls live in the winter on the study plot of some 200 acres on San Pablo salt marsh. The owls forage mainly at night there. Of 638 items found in pellets, 75 per cent were mammals, 20 per cent birds, and 5 per cent insects. Mammals were responsible for about 90 per cent of the mass consumed, Microtus and Rattus being the most important kinds. The relationship of Short-eared Owl predation to the community food web is indicated by means of a diagram.}, author = {Richard F. Johnston}, journal = {The Wilson Bulletin}, number = {2}, pages = {91--102}, publisher = {Wilson Ornithological Society}, title = {Predation by Short-Eared Owls on a Salicornia Salt Marsh}, volume = {68}, year = {1956}}",38.003734,-122.36325,15,13,0.123809524
A_PH_140_1524,M,Herbivory,"@article{Jones_1950,	doi = {10.2307/1525}, url = {https://doi.org/10.2307%2F1525}, year = 1950, month = {nov}, publisher = {{JSTOR}}, volume = {19}, number = {2}, pages = {159}, author = {J. R. Erichsen Jones}, title = {A Further Ecological Study of the River Rheidol: The Food of the Common Insects of the Main-Stream}, journal = {The Journal of Animal Ecology}}",52.38843632,-3.891423055,20,66,0.347368421
A_PH_100_1472,M,Herbivory,"@article{jones1949further, title={A Further Ecological Study of Calcareous Streams in theBlack Mountain'District of South Wales}, author={Jones, JR Erichsen}, journal={The Journal of Animal Ecology}, pages={142--159}, year={1949}, publisher={JSTOR}}",51.86087137,-3.832550988,23,50,0.197628458
A_PH_100_1531,M,Herbivory,"@article{jones1949further, title={A Further Ecological Study of Calcareous Streams in theBlack Mountain'District of South Wales}, author={Jones, JR Erichsen}, journal={The Journal of Animal Ecology}, pages={142--159}, year={1949}, publisher={JSTOR}}",51.86087137,-3.832550988,13,26,0.333333333
A_PH_147_1533,M,Herbivory,"@article{kuusela1979early, title={Early summer ecology and community structure of the macrozoobenthos on stones}, author={Kuusela, Kalevi}, journal={Acta Univer. Ouluensis Ser. A Sci. Rerum Nat}, volume={87}, pages={1--130}, year={1979}}",64.05251564,23.66040672,17,28,0.205882353
A_PH_138_1522,M,Herbivory,"@article{larsson1978lake, title={The lake ecosystem of Ovre Heimdalsvatn}, author={Larsson, Petter and Brittain, John E and Lien, Leif and Lillehammer, Albert and Tangen, Karl}, journal={Ecography}, volume={1}, number={2-3}, pages={304--320}, year={1978}, publisher={Wiley Online Library}}",61.4230981,8.863626067,17,18,0.132352941
A_PH_25_89,M,Herbivory,"@article{Lin_2006, doi = {10.1016/j.marenvres.2006.03.003}, url = {https://doi.org/10.1016%2Fj.marenvres.2006.03.003}, year = 2006, month = {jul}, publisher = {Elsevier {BV}}, volume = {62}, number = {1}, pages = {61--82}, author = {Hsing-Juh Lin and Xiao-Xun Dai and Kwang-Tsao Shao and Huei-Meei Su and Wen-Tseng Lo and Hwey-Lian Hsieh and Lee-Shing Fang and Jia-Jang Hung}, title = {Trophic structure and functioning in a eutrophic and poorly flushed lagoon in southwestern Taiwan}, journal = {Marine Environmental Research}}",22.45,120.433333,13,13,0.166666667
A_PH_101_1473,M,Herbivory,"@article{Liu_2007,	doi = {10.1016/j.ecolmodel.2006.11.028}, url = {https://doi.org/10.1016%2Fj.ecolmodel.2006.11.028}, year = 2007, month = {may}, publisher = {Elsevier {BV}}, volume = {203}, number = {3-4}, pages = {279--289}, author = {Qi-Gen Liu and Yong Chen and Jia-Le Li and Li-Qiao Chen}, title = {The food web structure and ecosystem properties of a filter-feeding carps dominated deep reservoir ecosystem}, journal = {Ecological Modelling}}",29.8333333,118.5666667,10,9,0.2
A_PH_103_1475,M,Herbivory,"@article{Massana_1996,	doi = {10.3354/ame011279}, url = {https://doi.org/10.3354%2Fame011279}, year = 1996, publisher = {Inter-Research Science Center}, volume = {11}, pages = {279--288}, author = {R Massana and J Garcia-Cantizano and C Pedros-Alio}, title = {Components, structure and fluxes of the microbial food web in a small, stratified lake}, journal = {Aquatic Microbial Ecology}}",42.125707,2.741469,15,26,0.247619048
A_PH_161_1592,M,Herbivory,"@article{Mayse_1978, doi = {10.1016/0304-3746(78)90004-5}, url = {https://doi.org/10.1016%2F0304-3746%2878%2990004-5}, year = 1978, month = {may}, publisher = {Elsevier {BV}}, volume = {4}, number = {3}, pages = {387--405}, author = {Mark A. Mayse and Peter W. Price}, title = {Seasonal development of soybean arthropod communities in east central Illinois}, journal = {Agro-Ecosystems}}",40,-88,10,9,0.2
A_PH_105_1478,M,Herbivory,"@article{Menge_1976,	doi = {10.1086/283073}, url = {https://doi.org/10.1086%2F283073}, year = 1976, month = {may}, publisher = {University of Chicago Press}, volume = {110}, number = {973}, pages = {351--369}, author = {Bruce A. Menge and John P. Sutherland}, title = {Species Diversity Gradients: Synthesis of the Roles of Predation, Competition, and Temporal Heterogeneity}, journal = {The American Naturalist}}",44.37215231,-68.09012125,6,4,0.266666667
